cell_id,name_expansion,lineage,classification,source_ref
DA6,Dorsal A-type Motor Neuron 6,AB plpppaaap,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
DA7,Dorsal A-type Motor Neuron 7,AB prpppaaap,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
DA8,Dorsal A-type Motor Neuron 8,AB prpapappp,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
DA9,Dorsal A-type Motor Neuron 9,AB plpppaaaa,"Ventral cord motor neurons, innervate dorsal muscles",wormatlas_cook_2019_via_cect
DB1,Dorsal B-type Motor Neuron 1,AB plpaaaapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor (aka DB1/3)",wormatlas_cook_2019_via_cect
DB2,Dorsal B-type Motor Neuron 2,AB arappappa,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor (aka DB3/1)",wormatlas_cook_2019_via_cect
DB3,Dorsal B-type Motor Neuron 3/1,AB prpaaaapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",wormatlas_cook_2019_via_cect
DB4,Dorsal B-type Motor Neuron 4,AB prpappapp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",wormatlas_cook_2019_via_cect
DB5,Dorsal B-type Motor Neuron 5,AB plpapappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",wormatlas_cook_2019_via_cect
DB6,Dorsal B-type Motor Neuron 6,AB plppaappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",wormatlas_cook_2019_via_cect
DB7,Dorsal B-type Motor Neuron 7,AB prppaappp,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor",wormatlas_cook_2019_via_cect
DD1,Dorsal D-type Motor Neuron 1,AB plppappap,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",wormatlas_cook_2019_via_cect
DD2,Dorsal D-type Motor Neuron 2,AB prppappap,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",wormatlas_cook_2019_via_cect
DD3,Dorsal D-type Motor Neuron 3,AB plppapppa,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",wormatlas_cook_2019_via_cect
DD4,Dorsal D-type Motor Neuron 4,AB prppapppa,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",wormatlas_cook_2019_via_cect
DD5,Dorsal D-type Motor Neuron 5,AB plppapppp,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",wormatlas_cook_2019_via_cect
DD6,Dorsal D-type Motor Neuron 6,AB prppapppp,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",wormatlas_cook_2019_via_cect
DVA,Dorsorectal Ganglion Ventral Process A,AB prppppapp,"Ring interneurons, cell bodies in dorsorectal ganglion",wormatlas_cook_2019_via_cect
DVB,Dorsorectal Ganglion Ventral Process B,K.p,An excitatory GABAergic motor neuron/interneuron located in dorso-rectal ganglion. Innervates rectal muscles,wormatlas_cook_2019_via_cect
DVC,Dorsorectal Ganglion Ventral Process C,C aapaa,"Ring interneurons, cell bodies in dorsorectal ganglion",wormatlas_cook_2019_via_cect
DVE,Dorsorectal Ventral Process E,B.ppap,"Male specific interneuron, cell body in dorsorectal ganglion",wormatlas_cook_2019_via_cect
DVF,Dorsorectal Ventral Process F,B.ppppa,"Male specific interneuron, cell body in dorsorectal ganglion",wormatlas_cook_2019_via_cect
DX1,,Male interneuron,,wormatlas_cook_2019_via_cect
DX2,,Male interneuron,,wormatlas_cook_2019_via_cect
DX3,,Male interneuron,,wormatlas_cook_2019_via_cect
EF1,,Male interneuron,,wormatlas_cook_2019_via_cect
EF2,,Male interneuron,,wormatlas_cook_2019_via_cect
EF3,,Male interneuron,,wormatlas_cook_2019_via_cect
FLPL,FLaP-like Dendritic Ending Left,AB plapaaapad,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",wormatlas_cook_2019_via_cect
FLPR,FLaP-like Dendritic Ending Right,AB prapaaapad,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",wormatlas_cook_2019_via_cect
GLRDL,,GLR cell,,wormatlas_cook_2019_via_cect
GLRDR,,GLR cell,,wormatlas_cook_2019_via_cect
GLRL,,GLR cell,,wormatlas_cook_2019_via_cect
GLRR,,GLR cell,,wormatlas_cook_2019_via_cect
GLRVL,,GLR cell,,wormatlas_cook_2019_via_cect
GLRVR,,GLR cell,,wormatlas_cook_2019_via_cect
HOA,HOok Neuron A,P10.pppa,"Male specific neuron, sensory ending in male hook sensillum, cell body in pre-anal ganglion",wormatlas_cook_2019_via_cect
HOB,HOok Neuron B,P10.ppap,"Male specific neuron, sensory ending in male hook sensillum, cell body in pre-anal ganglion",wormatlas_cook_2019_via_cect
HSNL,Hermaphrodite-Specific Neuron Left,AB plapppappa,"Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",wormatlas_cook_2019_via_cect
HSNR,Hermaphrodite-Specific Neuron Right,AB prapppappa,"Hermaphrodite specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic",wormatlas_cook_2019_via_cect
I1L,Interneuron 1 (pharynx) Left,AB alpapppaa,"Pharyngeal interneurons: ant sensory, input from RIP",wormatlas_cook_2019_via_cect
I1R,Interneuron 1 (pharynx) Right,AB arapappaa,"Pharyngeal interneurons: ant sensory, input from RIP",wormatlas_cook_2019_via_cect
I2L,Interneuron 2 (pharynx) Left,AB alpappaapa,"Pharyngeal interneurons, ant sensory",wormatlas_cook_2019_via_cect
I2R,Interneuron 2 (pharynx) Right,AB arapapaapa,"Pharyngeal interneurons, ant sensory",wormatlas_cook_2019_via_cect
I3,Interneuron 3 (pharynx),MS aaaaapaa,"Pharyngeal interneuron, ant sensory",wormatlas_cook_2019_via_cect
I4,Interneuron 4 (pharynx),MS aaaapaa,Pharyngeal interneuron,wormatlas_cook_2019_via_cect
I5,Interneuron 5 (pharynx),AB arapapapp,"Pharyngeal interneuron, post sensory",wormatlas_cook_2019_via_cect
I6,Interneuron 6 (pharynx),MS paaapaa,"Pharyngeal interneuron, post sensory",wormatlas_cook_2019_via_cect
IL1DL,Inner Labial 1 Dorsal Left,AB alapappaaa,Inner labial neuron,wormatlas_cook_2019_via_cect
IL1DR,Inner Labial 1 Dorsal Right,AB alappppaaa,Inner labial neuron,wormatlas_cook_2019_via_cect
IL1L,Inner Labial 1 Left,AB alapaappaa,Inner labial neuron,wormatlas_cook_2019_via_cect
IL1R,Inner Labial 1 Right,AB alaappppaa,Inner labial neuron,wormatlas_cook_2019_via_cect
IL1VL,Inner Labial 1 Ventral Left,AB alppapppaa,Inner labial neuron,wormatlas_cook_2019_via_cect
IL1VR,Inner Labial 1 Ventral Right,AB arapppppaa,Inner labial neuron,wormatlas_cook_2019_via_cect
IL2DL,Inner Labial 2 Dorsal Left,AB alapappap,Inner labial neuron,wormatlas_cook_2019_via_cect
IL2DR,Inner Labial 2 Dorsal Right,AB alappppap,Inner labial neuron,wormatlas_cook_2019_via_cect
IL2L,Inner Labial 2 Left,AB alapaappp,Inner labial neuron,wormatlas_cook_2019_via_cect
IL2R,Inner Labial 2 Right,AB alaappppp,Inner labial neuron,wormatlas_cook_2019_via_cect
IL2VL,Inner Labial 2 Ventral Left,AB alppapppp,Inner labial neuron,wormatlas_cook_2019_via_cect
IL2VR,Inner Labial 2 Ventral Right,AB arapppppp,Inner labial neuron,wormatlas_cook_2019_via_cect
LUAL,LUmbar Ganglion A Left,AB plpppaapap,"Interneuron, short process in post ventral cord",wormatlas_cook_2019_via_cect
LUAR,LUmbar Ganglion A Right,AB prpppaapap,"Interneuron, short process in post ventral cord",wormatlas_cook_2019_via_cect
M1,Motor Neuron 1 (pharynx),MS paapaaa,Pharyngeal motorneuron,wormatlas_cook_2019_via_cect
M2L,Motor Neuron 2 (pharynx) Left,AB araapappa,Pharyngeal motorneurons,wormatlas_cook_2019_via_cect
M2R,Motor Neuron 2 (pharynx) Right,AB araappppa,Pharyngeal motorneurons,wormatlas_cook_2019_via_cect
M3L,Motor Neuron 3 (pharynx) Left,AB araapappp,Pharyngeal sensory-motorneurons,wormatlas_cook_2019_via_cect
M3R,Motor Neuron 3 (pharynx) Right,AB araappppp,Pharyngeal sensory-motorneurons,wormatlas_cook_2019_via_cect
M4,Motor Neuron 4 (pharynx),MS paaaaaa,Pharyngeal motorneuron,wormatlas_cook_2019_via_cect
M5,Motor Neuron 5 (pharynx),MS paaapap,Pharyngeal motorneuron,wormatlas_cook_2019_via_cect
MANAL,,Anal/sphincter muscle,,wormatlas_cook_2019_via_cect
MCL,Marginal Cell Neuron (pharynx) Left,AB alpaaappp,Pharyngeal neurons that synapse onto marginal cells,wormatlas_cook_2019_via_cect
MCML,Mystery Cell of the Male Left,AmsoL,Male specific interneuron,wormatlas_cook_2019_via_cect
MCMR,Mystery Cell of the Male Right,AmsoR,Male specific interneuron,wormatlas_cook_2019_via_cect
MCR,Marginal Cell Neuron (pharynx) Right,AB arapaappp,Pharyngeal neurons that synapse onto marginal cells,wormatlas_cook_2019_via_cect
MDL01,,Head muscle,,wormatlas_cook_2019_via_cect
MDL02,,Head muscle,,wormatlas_cook_2019_via_cect
MDL03,,Head muscle,,wormatlas_cook_2019_via_cect
MDL04,,Head muscle,,wormatlas_cook_2019_via_cect
MDL05,,Head muscle,,wormatlas_cook_2019_via_cect
MDL06,,Head muscle,,wormatlas_cook_2019_via_cect
MDL07,,Head muscle,,wormatlas_cook_2019_via_cect
MDL08,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL09,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL10,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL11,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL12,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL13,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL14,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL15,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL16,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL17,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL18,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL19,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL20,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL21,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL22,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL23,,Main body muscle,,wormatlas_cook_2019_via_cect
MDL24,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR01,,Head muscle,,wormatlas_cook_2019_via_cect
MDR02,,Head muscle,,wormatlas_cook_2019_via_cect
MDR03,,Head muscle,,wormatlas_cook_2019_via_cect
MDR04,,Head muscle,,wormatlas_cook_2019_via_cect
MDR05,,Head muscle,,wormatlas_cook_2019_via_cect
MDR06,,Head muscle,,wormatlas_cook_2019_via_cect
MDR07,,Head muscle,,wormatlas_cook_2019_via_cect
MDR08,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR09,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR10,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR11,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR12,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR13,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR14,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR15,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR16,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR17,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR18,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR19,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR20,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR21,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR22,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR23,,Main body muscle,,wormatlas_cook_2019_via_cect
MDR24,,Main body muscle,,wormatlas_cook_2019_via_cect
MI,Motor/Interneuron (pharynx),AB araappaaa,Pharyngeal motor neuron/interneuron,wormatlas_cook_2019_via_cect
MVL01,,Head muscle,,wormatlas_cook_2019_via_cect
MVL02,,Head muscle,,wormatlas_cook_2019_via_cect
MVL03,,Head muscle,,wormatlas_cook_2019_via_cect
MVL04,,Head muscle,,wormatlas_cook_2019_via_cect
MVL05,,Head muscle,,wormatlas_cook_2019_via_cect
MVL06,,Head muscle,,wormatlas_cook_2019_via_cect
MVL07,,Head muscle,,wormatlas_cook_2019_via_cect
MVL08,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL09,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL10,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL11,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL12,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL13,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL14,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL15,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL16,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL17,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL18,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL19,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL20,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL21,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL22,,Main body muscle,,wormatlas_cook_2019_via_cect
MVL23,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR01,,Head muscle,,wormatlas_cook_2019_via_cect
MVR02,,Head muscle,,wormatlas_cook_2019_via_cect
MVR03,,Head muscle,,wormatlas_cook_2019_via_cect
MVR04,,Head muscle,,wormatlas_cook_2019_via_cect
MVR05,,Head muscle,,wormatlas_cook_2019_via_cect
MVR06,,Head muscle,,wormatlas_cook_2019_via_cect
MVR07,,Head muscle,,wormatlas_cook_2019_via_cect
MVR08,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR09,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR10,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR11,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR12,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR13,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR14,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR15,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR16,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR17,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR18,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR19,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR20,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR21,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR22,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR23,,Main body muscle,,wormatlas_cook_2019_via_cect
MVR24,,Main body muscle,,wormatlas_cook_2019_via_cect
MVULVA,,Vulval muscle,,wormatlas_cook_2019_via_cect
NSML,NeuroSecretory Motor Neuron (pharynx) Left,AB araapapaav,"Pharyngeal neurosecretory motorneuron, contain serotonin",wormatlas_cook_2019_via_cect
NSMR,NeuroSecretory Motor Neuron (pharynx) Right,AB araapppaav,"Pharyngeal neurosecretory motorneuron, contain serotonin",wormatlas_cook_2019_via_cect
OLLL,Outer Labial Lateral Dendrite Left,AB alppppapaa,Lateral outer labial neurons,wormatlas_cook_2019_via_cect
OLLR,Outer Labial Lateral Dendrite Right,AB praaapapaa,Lateral outer labial neurons,wormatlas_cook_2019_via_cect
OLQDL,Outer Labial Quadrant Dendrite Dorsal Left,AB alapapapaa,Quadrant outer labial neuron,wormatlas_cook_2019_via_cect
OLQDR,Outer Labial Quadrant Dendrite Dorsal Right,AB alapppapaa,Quadrant outer labial neuron,wormatlas_cook_2019_via_cect
OLQVL,Outer Labial Quadrant Dendrite Ventral Left,AB plpaaappaa,Quadrant outer labial neuron,wormatlas_cook_2019_via_cect
OLQVR,Outer Labial Quadrant Dendrite Ventral Right,AB prpaaappaa,Quadrant outer labial neuron,wormatlas_cook_2019_via_cect
PCAL,PostCloacal Sensilla Neuron A Left,Y.plppd,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion",wormatlas_cook_2019_via_cect
PCAR,PostCloacal Sensilla Neuron A Right,Y.prppd,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion",wormatlas_cook_2019_via_cect
PCBL,PostCloacal Sensilla Neuron B Left,Y.plpa,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion",wormatlas_cook_2019_via_cect
PCBR,PostCloacal Sensilla Neuron B Right,Y.prpa,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion",wormatlas_cook_2019_via_cect
PCCL,PostCloacal Sensilla Neuron C Left,B.arpaaa,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in left cloacal ganglion",wormatlas_cook_2019_via_cect
PCCR,PostCloacal Sensilla Neuron C Right,B.alpaaa,"Male specific sensory-motor neuron, sensory ending in male postcloacal sensilla, cell body in right cloacal ganglion",wormatlas_cook_2019_via_cect
PDA,Preanal Cell Body Dorsal Axon A,AB prpppaaaa,"Motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male",wormatlas_cook_2019_via_cect
PDB,Preanal Cell Body Dorsal Axon B,P12.apa,"Motor neuron, process in dorsal cord, cell body in pre-anal ganglion",wormatlas_cook_2019_via_cect
PDC,Preanal Cell with Dorsal Process C,P11.papa,"Male specific interneuron, pre-anal ganglion",wormatlas_cook_2019_via_cect
PDEL,Posterior DEirid Left,V5L.paaa,"Neuron, dopaminergic of postderid sensillum",wormatlas_cook_2019_via_cect
PDER,Posterior DEirid Right,V5R.paaa,"Neuron, dopaminergic of postderid sensillum",wormatlas_cook_2019_via_cect
PGA,Preanal Ganglion Cell A,P11.papp,"Male specific interneuron, pre-anal ganglion",wormatlas_cook_2019_via_cect
PHAL,PHasmid Neuron A Left,AB plpppaapp,"Phasmid neurons, chemosensory",wormatlas_cook_2019_via_cect
PHAR,PHasmid Neuron A Right,AB prpppaapp,"Phasmid neurons, chemosensory",wormatlas_cook_2019_via_cect
PHBL,PHasmid Neuron B Left,AB plapppappp,"Phasmid neurons, chemosensory",wormatlas_cook_2019_via_cect
PHBR,PHasmid Neuron B Right,AB prapppappp,"Phasmid neurons, chemosensory",wormatlas_cook_2019_via_cect
PHCL,PHasmid Neuron C Left,TL.pppaa,"Neuron, striated rootlet in male, possibly sensory in tail spike",wormatlas_cook_2019_via_cect
PHCR,PHasmid Neuron C Right,TR.pppaa,"Neuron, striated rootlet in male, possibly sensory in tail spike",wormatlas_cook_2019_via_cect
PHDL,PHasmid Neuron D Left,TL.paa (PHsoL),Male specific sensory neuron,wormatlas_cook_2019_via_cect
PHDR,PHasmid Neuron D Right,TR.paa (PHsoR),Male specific sensory neuron,wormatlas_cook_2019_via_cect
PLML,Posterior Lateral Microtubule Neuron Left,AB plapappppaa,"Posterior lateral microtubule cells, touch receptor neurons",wormatlas_cook_2019_via_cect
PLMR,Posterior Lateral Microtubule Neuron Right,AB prapappppaa,"Posterior lateral microtubule cells, touch receptor neurons",wormatlas_cook_2019_via_cect
PLNL,Posterior Lateral N Left,TL.pppap,"Interneuron, associated with PLM",wormatlas_cook_2019_via_cect
PLNR,Posterior Lateral N Right,TR.pppap,"Interneuron, associated with PLM",wormatlas_cook_2019_via_cect
PQR,Posterior Q-cell Derived Receptor,QL.ap,"Neuron, basal body, not part of a sensillum, projects into preanal ganglion",wormatlas_cook_2019_via_cect
PVCL,Posterior Ventral Process C Left,AB plpppaapaa,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",wormatlas_cook_2019_via_cect
PVCR,Posterior Ventral Process C Right,AB prpppaapaa,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta",wormatlas_cook_2019_via_cect
PVDL,Posterior Ventral Process D Left,V5L.paapa,"Neuron, lateral process adjacent to excretory canal",wormatlas_cook_2019_via_cect
PVDR,Posterior Ventral Process D Right,V5R.paapa,"Neuron, lateral process adjacent to excretory canal",wormatlas_cook_2019_via_cect
PVM,Posterior Ventral Microtubule Neuron,QL.paa,"Posterior ventral microtubule cell, touch receptor",wormatlas_cook_2019_via_cect
PVNL,Posterior Ventral Process N Left,TL.appp,"Interneuron/motor neuron, post. vent. cord, few synapses",wormatlas_cook_2019_via_cect
PVNR,Posterior Ventral Process N Right,TR.appp,"Interneuron/motor neuron, post. vent. cord, few synapses",wormatlas_cook_2019_via_cect
PVPL,Posterior Ventral Process P Left,AB plppppaaa,"Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",wormatlas_cook_2019_via_cect
PVPR,Posterior Ventral Process P Right,AB prppppaaa,"Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring",wormatlas_cook_2019_via_cect
PVQL,Posterior Ventral Process Q Left,AB plapppaaa,"Interneuron, projects along ventral cord to ring",wormatlas_cook_2019_via_cect
PVQR,Posterior Ventral Process Q Right,AB prapppaaa,"Interneuron, projects along ventral cord to ring",wormatlas_cook_2019_via_cect
PVR,Posterior Ventral Process R,C aappa,"Interneuron, projects along ventral cord to ring",wormatlas_cook_2019_via_cect
PVT,Posterior Ventral Process T,AB plpappppa,"Interneuron, projects along ventral cord to ring",wormatlas_cook_2019_via_cect
PVV,Posterior Ventral Process V,P11.paaa,"Male specific motor neuron, pre-anal ganglion",wormatlas_cook_2019_via_cect
PVWL,Posterior Ventral Process W Left,TL.ppa,"Interneuron, posterior ventral cord, few synapses",wormatlas_cook_2019_via_cect
PVWR,Posterior Ventral Process W Right,TR.ppa,"Interneuron, posterior ventral cord, few synapses",wormatlas_cook_2019_via_cect
PVX,Posterior Ventral Process X,P12.aap,"Male specific interneuron, cell body in pre-anal ganglion, postsynaptic in ring and ventral cord",wormatlas_cook_2019_via_cect
PVY,Posterior Ventral Process Y,P11.paap,"Male specific interneuron, cell body in pre-anal ganglion",wormatlas_cook_2019_via_cect
PVZ,Posterior Ventral Process Z,P10.ppppa,"Male specific motor neuron, cell body in pre-anal ganglion",wormatlas_cook_2019_via_cect
R1AL,Ray 1 Neuron A Left,"V5L.pppppaaa, (R1.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R1AR,Ray 1 Neuron A Right,"V5R.pppppaaa, (R1.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R1BL,Ray 1 Neuron B Left,"V5L.pppppapa, (R1.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R1BR,Ray 1 Neuron B Right,"V5R.pppppapa, (R1.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R1stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R1stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R2AL,Ray 2 Neuron A Left,"V6L.papapaaa, (R2.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R2AR,Ray 2 Neuron A Right,"V6R.papapaaa, (R2.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R2BL,Ray 2 Neuron B Left,"V6L.papapapa, (R2.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside,cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R2BR,Ray 2 Neuron B Right,"V6R.papapapa, (R2.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R2stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R2stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R3AL,Ray 3 Neuron A Left,"V6L.papppaaa, (R3.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R3AR,Ray 3 Neuron A Right,"V6R.papppaaa, (R3.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R3BL,Ray 3 Neuron B Left,"V6L.papppapa, (R3.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R3BR,Ray 3 Neuron B Right,"V6R.papppapa, (R3.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R3stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R3stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R4AL,Ray 4 Neuron A Left,"V6L.pppapaaa, (R4.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R4AR,Ray 4 Neuron A Right,"V6R.pppapaaa, (R4.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R4BL,Ray 4 Neuron B Left,"V6L.pppapapa, (R4.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R4BR,Ray 4 Neuron B Right,"V6R.pppapapa, (R4.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R4stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R4stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R5AL,Ray 5 Neuron A Left,"V6L.pppppaaa, (R5.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R5AR,Ray 5 Neuron A Right,"V6R.pppppaaa, (R5.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R5BL,Ray 5 Neuron B Left,"V6L.pppppapa, (R5.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R5BR,Ray 5 Neuron B Right,"V6R.pppppapa, (R5.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R5stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R5stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R6AL,Ray 6 Neuron A Left,"V6L.ppppaaaa, (R6.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R6AR,Ray 6 Neuron A Right,"V6R.ppppaaaa, (R6.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R6BL,Ray 6 Neuron B Left,"V6L.ppppaapa, (R6.apaL)","Male sensory rays, neuron, not darkly staining nor open to outside, cell body in left lumbar ganglion",wormatlas_cook_2019_via_cect
R6BR,Ray 6 Neuron B Right,"V6R.ppppaapa, (R6.apaR)","Male sensory rays, neuron, not darkly staining nor open to outside, cell body in right lumbar ganglion",wormatlas_cook_2019_via_cect
R6stL,,Male ray structural cell,,wormatlas_cook_2019_via_cect
R6stR,,Male ray structural cell,,wormatlas_cook_2019_via_cect
