cell_id,name_expansion,lineage,classification,source_ref
grtL,,Gubernacular retractor (male specific),,wormatlas_cook_2019_via_cect
grtR,,Gubernacular retractor (male specific),,wormatlas_cook_2019_via_cect
hmc,,Head mesodermal cell,,wormatlas_cook_2019_via_cect
hyp,,Hypodermis,,wormatlas_cook_2019_via_cect
int,,Intestine,,wormatlas_cook_2019_via_cect
mc1DL,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mc1DR,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mc1V,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mc2DL,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mc2DR,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mc2V,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mc3DL,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mc3DR,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mc3V,,Marginal cell of the pharynx,,wormatlas_cook_2019_via_cect
mu_anal,,Anal/sphincter muscle,,wormatlas_cook_2019_via_cect
mu_intL,,Intestinal muscles,,wormatlas_cook_2019_via_cect
mu_intR,,Intestinal muscles,,wormatlas_cook_2019_via_cect
mu_sph,,Anal/sphincter muscle,,wormatlas_cook_2019_via_cect
pilL,,Posterior inner longitudinal muscle (male specific),,wormatlas_cook_2019_via_cect
pilR,,Posterior inner longitudinal muscle (male specific),,wormatlas_cook_2019_via_cect
pm1,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm2D,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm2VL,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm2VR,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm3D,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm3VL,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm3VR,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm4D,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm4VL,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm4VR,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm4_UNSPECIFIED,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm5D,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm5VL,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm5VR,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm6D,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm6VL,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm6VR,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm7D,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm7VL,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm7VR,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pm8,,Pharyngeal muscle,,wormatlas_cook_2019_via_cect
pobL,,Posterior oblique (male specific),,wormatlas_cook_2019_via_cect
pobR,,Posterior oblique (male specific),,wormatlas_cook_2019_via_cect
polL,,Posterior outer longitudinal muscle (male specific),,wormatlas_cook_2019_via_cect
polR,,Posterior outer longitudinal muscle (male specific),,wormatlas_cook_2019_via_cect
proctodeum,,Proctodeum (male specific),,wormatlas_cook_2019_via_cect
um1AL,,Uterine muscle,,wormatlas_cook_2019_via_cect
um1AR,,Uterine muscle,,wormatlas_cook_2019_via_cect
um1PL,,Uterine muscle,,wormatlas_cook_2019_via_cect
um1PR,,Uterine muscle,,wormatlas_cook_2019_via_cect
um2AL,,Uterine muscle,,wormatlas_cook_2019_via_cect
um2AR,,Uterine muscle,,wormatlas_cook_2019_via_cect
um2PL,,Uterine muscle,,wormatlas_cook_2019_via_cect
um2PR,,Uterine muscle,,wormatlas_cook_2019_via_cect
vm1AL,,Vulval muscle,,wormatlas_cook_2019_via_cect
vm1AR,,Vulval muscle,,wormatlas_cook_2019_via_cect
vm1PL,,Vulval muscle,,wormatlas_cook_2019_via_cect
vm1PR,,Vulval muscle,,wormatlas_cook_2019_via_cect
vm2AL,,Vulval muscle,,wormatlas_cook_2019_via_cect
vm2AR,,Vulval muscle,,wormatlas_cook_2019_via_cect
vm2PL,,Vulval muscle,,wormatlas_cook_2019_via_cect
vm2PR,,Vulval muscle,,wormatlas_cook_2019_via_cect
vspL,,Ventral spicule protractor (male specific),,wormatlas_cook_2019_via_cect
vspR,,Ventral spicule protractor (male specific),,wormatlas_cook_2019_via_cect
vsrL,,Ventral spicule retractor (male specific),,wormatlas_cook_2019_via_cect
vsrR,,Ventral spicule retractor (male specific),,wormatlas_cook_2019_via_cect
